receiver,id_pk,station_name,deploy_date_time,recover_date_time,deploy_lat,deploy_long,detection_count
VR2W-112297,2299,RingvZ,00:00.0,00:00.0,51.00707559,3.751243194,42203
VR2W-112297,2670,s-Wetteren,00:00.0,00:00.0,51.00164,3.85695,2247
VR2W-112298,1360,soAsp,00:00.0,00:00.0,50.91475257,3.672918896,6479
VR2W-112298,1648,bh-32,00:00.0,00:00.0,51.3081908,3.7241653,6506
VR2W-112298,2327,soAsp,01:00.0,00:00.0,50.91475257,3.672918896,569
VR2W-112298,2328,soAsp,00:00.0,00:00.0,50.91475257,3.672918896,499
VR2W-112298,2329,soAsp,00:00.0,00:00.0,50.91475257,3.672918896,33
VR2W-112298,2330,soAsp,00:00.0,00:00.0,50.91475257,3.672918896,33
VR2W-112298,2331,soAsp,00:00.0,00:00.0,50.91475257,3.672918896,157
VR2W-112299,1361,slAsp,00:00.0,00:00.0,50.91736686,3.665685904,10020
VR2W-112299,1393,ws-18,00:00.0,00:00.0,51.3482621,3.8147323,135
VR2W-112299,2316,slAsp,00:00.0,00:00.0,50.91736686,3.665685904,279
VR2W-112299,2317,slAsp,00:00.0,00:00.0,50.91736686,3.665685904,392
VR2W-112299,2319,slAsp,00:00.0,00:00.0,50.91736686,3.665685904,1245
VR2W-112370,1620,ws-W7,00:00.0,00:00.0,51.410173,3.454515,1112
VR2W-112370,2015,ws-W7,00:00.0,00:00.0,51.410173,3.454515,341
VR2W-112370,2197,ws-W7,00:00.0,00:00.0,51.410173,3.454515,29
VR2W-113521,1362,stgOud,00:00.0,00:00.0,50.85235821,3.622367915,125
VR2W-113521,1480,bh-33,00:00.0,00:00.0,51.3134659,3.7321561,891
VR2W-113521,1496,s-4,00:00.0,00:00.0,51.04231,4.0945,7477
VR2W-113521,1697,s-4,00:00.0,00:00.0,51.04231,4.0945,952
VR2W-113521,1942,s-4,00:00.0,00:00.0,51.04231,4.0945,35
VR2W-113521,2250,s-4,00:00.0,00:00.0,51.04231,4.0945,1594
VR2W-113521,2337,stgOud,00:00.0,00:00.0,50.85235821,3.622367915,1127
VR2W-113521,2338,stgOud,00:00.0,00:00.0,50.85235821,3.622367915,223
VR2W-113521,2339,stgOud,00:00.0,00:00.0,50.85235821,3.622367915,115
VR2W-113521,2666,s-4,00:00.0,00:00.0,51.04231,4.0945,2355
VR2W-113522,1414,bh-29,00:00.0,00:00.0,51.2396828,3.7474982,38560
VR2W-113522,1603,bh-29,00:00.0,00:00.0,51.2396828,3.7474982,2708
VR2W-113522,1698,HH8,00:00.0,00:00.0,51.076378,5.170783,89833
VR2W-113522,1699,HH8,00:00.0,00:00.0,51.076378,5.170783,187559
VR2W-113522,2354,RingvWn,00:00.0,00:00.0,51.0535098,3.671468111,158
VR2W-113523,1649,bh-34,00:00.0,00:00.0,51.3223102,3.7290976,4843
VR2W-113524,1337,me-7-2,00:00.0,00:00.0,51.082219,4.366229,501
VR2W-113524,1411,bh-24,00:00.0,00:00.0,51.2719206,3.7319803,879
VR2W-113524,2270,me-7-2,00:00.0,00:00.0,51.082219,4.366229,22
VR2W-113524,2346,saTBZwa,00:00.0,00:00.0,50.88887981,3.677766148,5
VR2W-113524,2348,saTBZwa,00:00.0,00:00.0,50.88887981,3.677766148,3
VR2W-113524,2608,me-7-2,00:00.0,00:00.0,51.082219,4.366229,405
VR2W-113525,1639,bh-12,00:00.0,00:00.0,51.2655417,3.6551322,2651
VR2W-113525,2308,RingvN,00:00.0,00:00.0,51.10424598,3.711571312,30
VR2W-113525,2433,ak-38,00:00.0,00:00.0,51.168795,4.835036,1
VR2W-113526,1406,bh-17,00:00.0,00:00.0,51.2677225,3.6813137,15891
VR2W-113526,1493,s-1,00:00.0,00:00.0,51.02811,3.78691,3357
VR2W-113526,2009,s-1,00:00.0,00:00.0,51.023468,3.78826,69
VR2W-113526,2271,s-1,00:00.0,00:00.0,51.023468,3.78826,681
VR2W-113526,2609,s-1,00:00.0,00:00.0,51.023468,3.78826,197
VR2W-113527,1387,ws-12A,00:00.0,00:00.0,51.3648799,3.765539,30
VR2W-113527,2341,soOud,00:00.0,00:00.0,50.84843846,3.616681093,51
VR2W-113527,2342,soOud,00:00.0,00:00.0,50.84843846,3.616681093,455
VR2W-113527,2343,soOud,00:00.0,00:00.0,50.84843846,3.616681093,80
VR2W-113527,2344,soOud,00:00.0,00:00.0,50.84843846,3.616681093,8
VR2W-113528,1421,bh-7,00:00.0,00:00.0,51.254878,3.5621802,27514
VR2W-113528,1501,s-9,00:00.0,00:00.0,51.19069,4.32954,1733
VR2W-113528,1702,s-9,00:00.0,00:00.0,51.19069,4.32954,371
VR2W-113528,1943,s-9,00:00.0,00:00.0,51.19069,4.32954,231
VR2W-113528,2240,s-9,00:00.0,00:00.0,51.19069,4.32954,2387
VR2W-113528,2301,T0,00:00.0,00:00.0,51.00515148,3.746079172,22
VR2W-113528,2302,T0,00:00.0,00:00.0,51.00515148,3.746079172,52
VR2W-113528,2654,s-9,00:00.0,00:00.0,51.19069,4.32954,105
VR2W-113528,2795,bh-7,00:00.0,00:00.0,51.254878,3.5621802,70
VR2W-113529,1338,bh-6,00:00.0,00:00.0,51.2505032,3.544414,13118
VR2W-113529,1365,sIOud,00:00.0,00:00.0,50.85112213,3.61988108,7
VR2W-113529,1420,bh-6,00:00.0,00:00.0,51.2505032,3.544414,505434
VR2W-113529,2333,sIOud,00:00.0,00:00.0,50.85112213,3.61988108,16
VR2W-113529,2334,sIOud,00:00.0,00:00.0,50.85112213,3.61988108,12
VR2W-113529,2487,zandvlietsluis haven B,00:00.0,00:00.0,51.34458,4.30243,1138
VR2W-113529,2693,zandvlietsluis haven B,00:00.0,00:00.0,51.34458,4.30243,1168
VR2W-113529,2797,bh-6,00:00.0,00:00.0,51.2505032,3.544414,18050
VR2W-113529,3254,Test Rotselaar,00:00.0,00:00.0,50.947345,4.702879,57
VR2W-114258,1635,bpns-WZ,00:00.0,00:00.0,51.376167,3.178666667,236
VR2W-114258,2002,bpns-WZ,00:00.0,00:00.0,51.3762,3.1787,128
VR2W-114258,2546,bpns-WZ,00:00.0,00:00.0,51.376167,3.178666667,29
VR2W-114312,1554,bpns-W1,00:00.0,00:00.0,51.391333,3.303666667,32
VR2W-114312,1704,bpns-W1,00:00.0,00:00.0,51.391333,3.303666667,234
VR2W-114312,2016,bpns-W1,00:00.0,00:00.0,51.391333,3.303666667,52
VR2W-114312,2547,bpns-W1,00:00.0,00:00.0,51.391333,3.303666667,10
VR2W-115428,1631,bpns-OH6,00:00.0,00:00.0,51.239667,2.9215,9
VR2W-115428,1644,bh-23,00:00.0,00:00.0,51.2672795,3.7173234,612
VR2W-115428,1707,bpns-OH6,00:00.0,00:00.0,51.239667,2.9215,134
VR2W-115428,1841,bpns-OH6,00:00.0,00:00.0,51.239667,2.9215,368
VR2W-115429,1410,bh-22,00:00.0,00:00.0,51.2684107,3.718915,5701
VR2W-115429,2030,bn-Lier,00:00.0,00:00.0,51.11731,4.54958,401
